window_id	chrom	start	end	split	h3k27ac_npz_path	h3k27ac_known_frac	h3k27ac_methylated_frac_known	h3k27ac_n_reads_used	h3k27me3_npz_path	h3k27me3_known_frac	h3k27me3_methylated_frac_known	h3k27me3_n_reads_used	h3k4me3_npz_path	h3k4me3_known_frac	h3k4me3_methylated_frac_known	h3k4me3_n_reads_used
chr10:107000000-108000000	chr10	107000000	108000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_107000000_108000000.npz	0.190097	0.000063	4686	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_107000000_108000000.npz	0.195717	0.000046	4829	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_107000000_108000000.npz	0.195384	0.000005	4764
chr10:108000000-109000000	chr10	108000000	109000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_108000000_109000000.npz	0.179932	0.000006	4668	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_108000000_109000000.npz	0.185110	0.000000	4749	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_108000000_109000000.npz	0.184757	0.000000	4921
chr10:109000000-110000000	chr10	109000000	110000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_109000000_110000000.npz	0.181587	0.000000	4641	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_109000000_110000000.npz	0.186264	0.000000	4754	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_109000000_110000000.npz	0.185861	0.000000	4926
chr10:11000000-12000000	chr10	11000000	12000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_11000000_12000000.npz	0.199658	0.000175	4724	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_11000000_12000000.npz	0.214238	0.000000	4804	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_11000000_12000000.npz	0.211490	0.000052	4925
chr10:110000000-111000000	chr10	110000000	111000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_110000000_111000000.npz	0.195496	0.000000	4686	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_110000000_111000000.npz	0.200382	0.000005	4815	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_110000000_111000000.npz	0.199403	0.000030	4801
chr10:111000000-112000000	chr10	111000000	112000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_111000000_112000000.npz	0.196072	0.000240	4927	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_111000000_112000000.npz	0.205508	0.000005	4970	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_111000000_112000000.npz	0.204341	0.000010	5013
chr10:112000000-113000000	chr10	112000000	113000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_112000000_113000000.npz	0.192875	0.000005	4864	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_112000000_113000000.npz	0.198483	0.000000	4731	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_112000000_113000000.npz	0.198158	0.000000	4930
chr10:113000000-114000000	chr10	113000000	114000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_113000000_114000000.npz	0.195398	0.000015	4528	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_113000000_114000000.npz	0.204633	0.000049	4553	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_113000000_114000000.npz	0.203328	0.000030	4669
chr10:114000000-115000000	chr10	114000000	115000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_114000000_115000000.npz	0.199481	0.000045	4539	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_114000000_115000000.npz	0.210378	0.000000	4721	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_114000000_115000000.npz	0.209157	0.000010	4783
chr10:115000000-116000000	chr10	115000000	116000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_115000000_116000000.npz	0.196228	0.000041	4556	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_115000000_116000000.npz	0.209193	0.000000	4674	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_115000000_116000000.npz	0.207980	0.000005	4806
chr10:116000000-117000000	chr10	116000000	117000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_116000000_117000000.npz	0.174043	0.000011	4633	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_116000000_117000000.npz	0.179444	0.000000	4801	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_116000000_117000000.npz	0.178940	0.000000	4741
chr10:117000000-118000000	chr10	117000000	118000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_117000000_118000000.npz	0.203831	0.000054	4417	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_117000000_118000000.npz	0.209942	0.000000	4601	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_117000000_118000000.npz	0.209444	0.000000	4682
chr10:118000000-119000000	chr10	118000000	119000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_118000000_119000000.npz	0.210230	0.000000	4573	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_118000000_119000000.npz	0.216193	0.000000	4620	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_118000000_119000000.npz	0.215086	0.000000	4701
chr10:119000000-120000000	chr10	119000000	120000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_119000000_120000000.npz	0.202045	0.000119	4651	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_119000000_120000000.npz	0.212686	0.000042	4663	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_119000000_120000000.npz	0.211553	0.000033	4833
chr10:12000000-13000000	chr10	12000000	13000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_12000000_13000000.npz	0.197452	0.000203	4422	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_12000000_13000000.npz	0.211935	0.000066	4691	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_12000000_13000000.npz	0.211002	0.000038	4616
chr10:120000000-121000000	chr10	120000000	121000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_120000000_121000000.npz	0.202438	0.000114	4582	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_120000000_121000000.npz	0.218255	0.000018	4705	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_120000000_121000000.npz	0.216912	0.000009	4976
chr10:121000000-122000000	chr10	121000000	122000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_121000000_122000000.npz	0.197954	0.000010	4614	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_121000000_122000000.npz	0.205169	0.000000	4566	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_121000000_122000000.npz	0.204362	0.000020	4624
chr10:122000000-123000000	chr10	122000000	123000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_122000000_123000000.npz	0.210769	0.000028	4361	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_122000000_123000000.npz	0.219787	0.000000	4376	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_122000000_123000000.npz	0.218384	0.000009	4516
chr10:123000000-124000000	chr10	123000000	124000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_123000000_124000000.npz	0.210385	0.000010	4663	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_123000000_124000000.npz	0.217397	0.000023	4665	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_123000000_124000000.npz	0.216611	0.000009	4788
chr10:124000000-125000000	chr10	124000000	125000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_124000000_125000000.npz	0.218436	0.000000	4463	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_124000000_125000000.npz	0.229847	0.000000	4666	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_124000000_125000000.npz	0.228233	0.000013	4877
chr10:125000000-126000000	chr10	125000000	126000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_125000000_126000000.npz	0.221838	0.000059	4356	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_125000000_126000000.npz	0.240994	0.000046	4584	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_125000000_126000000.npz	0.238572	0.000050	4588
chr10:126000000-127000000	chr10	126000000	127000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_126000000_127000000.npz	0.204782	0.000015	4422	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_126000000_127000000.npz	0.212436	0.000000	4525	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_126000000_127000000.npz	0.211724	0.000024	4650
chr10:127000000-128000000	chr10	127000000	128000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_127000000_128000000.npz	0.206741	0.000010	4173	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_127000000_128000000.npz	0.213239	0.000014	4170	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_127000000_128000000.npz	0.212504	0.000005	4302
chr10:128000000-129000000	chr10	128000000	129000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_128000000_129000000.npz	0.208760	0.000024	4129	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_128000000_129000000.npz	0.219074	0.000000	4439	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_128000000_129000000.npz	0.218371	0.000005	4492
chr10:129000000-130000000	chr10	129000000	130000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_129000000_130000000.npz	0.218489	0.000014	4215	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_129000000_130000000.npz	0.227367	0.000000	4461	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_129000000_130000000.npz	0.225998	0.000000	4393
chr10:13000000-14000000	chr10	13000000	14000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_13000000_14000000.npz	0.196188	0.000178	4568	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_13000000_14000000.npz	0.213556	0.000042	4738	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_13000000_14000000.npz	0.211445	0.000099	4818
chr10:130000000-131000000	chr10	130000000	131000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_130000000_131000000.npz	0.206171	0.000082	4248	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_130000000_131000000.npz	0.220049	0.000027	4255	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_130000000_131000000.npz	0.218017	0.000032	4322
chr10:131000000-132000000	chr10	131000000	132000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_131000000_132000000.npz	0.218012	0.000014	4071	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_131000000_132000000.npz	0.224394	0.000004	4278	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_131000000_132000000.npz	0.223546	0.000009	4190
chr10:132000000-133000000	chr10	132000000	133000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_132000000_133000000.npz	0.220797	0.000100	4023	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_132000000_133000000.npz	0.241994	0.000012	4150	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_132000000_133000000.npz	0.241408	0.000004	4137
chr10:133000000-134000000	chr10	133000000	134000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_133000000_134000000.npz	0.236623	0.000296	4096	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_133000000_134000000.npz	0.262857	0.000015	4225	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_133000000_134000000.npz	0.259387	0.000042	4274
chr10:14000000-15000000	chr10	14000000	15000000	train	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr10_14000000_15000000.npz	0.202720	0.000015	4686	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr10_14000000_15000000.npz	0.212429	0.000005	4778	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr10_14000000_15000000.npz	0.210654	0.000043	4897
