region_id	chrom	start	end	name	split
52	chr17	57900000	58000000	chr16_rank53_score2.079_reads622	train
53	chr17	73300000	73400000	chr16_rank54_score2.077_reads663	val
54	chr17	38800000	38900000	chr16_rank55_score2.064_reads575	val
55	chr17	50500000	50600000	chr16_rank56_score2.062_reads628	val
56	chr17	7500000	7600000	chr16_rank57_score2.060_reads617	train
57	chr17	41900000	42000000	chr16_rank58_score2.017_reads606	train
58	chr17	40000000	40100000	chr16_rank59_score1.993_reads600	train
59	chr17	42100000	42200000	chr16_rank60_score1.958_reads631	train
60	chr17	74700000	74800000	chr16_rank61_score1.958_reads631	train
61	chr17	28300000	28400000	chr16_rank62_score1.953_reads600	train
62	chr17	77300000	77400000	chr16_rank63_score1.881_reads611	train
63	chr17	1700000	1800000	chr16_rank64_score1.862_reads519	train
64	chr17	18200000	18300000	chr16_rank65_score1.855_reads547	test
65	chr17	40100000	40200000	chr16_rank66_score1.853_reads604	train
66	chr17	81600000	81700000	chr16_rank67_score1.846_reads545	train
67	chr17	45300000	45400000	chr16_rank68_score1.841_reads601	train
68	chr17	3600000	3700000	chr16_rank69_score1.815_reads557	test
69	chr17	78900000	79000000	chr16_rank70_score1.815_reads557	train
70	chr17	79800000	79900000	chr16_rank71_score1.811_reads537	val
71	chr17	4800000	4900000	chr16_rank72_score1.806_reads629	train
72	chr17	77200000	77300000	chr16_rank73_score1.801_reads591	val
73	chr17	17500000	17600000	chr16_rank74_score1.795_reads697	train
74	chr17	75200000	75300000	chr16_rank75_score1.793_reads533	test
75	chr17	41800000	41900000	chr16_rank76_score1.793_reads589	train
76	chr17	41700000	41800000	chr16_rank77_score1.784_reads658	train
77	chr17	1100000	1200000	chr16_rank78_score1.776_reads548	val
78	chr17	17800000	17900000	chr16_rank79_score1.771_reads547	train
79	chr17	44000000	44100000	chr16_rank80_score1.760_reads581	train
80	chr17	40500000	40600000	chr16_rank81_score1.759_reads652	train
81	chr17	44700000	44800000	chr16_rank82_score1.752_reads633	train
82	chr17	46200000	46300000	chr16_rank83_score1.747_reads888	train
83	chr17	29100000	29200000	chr16_rank84_score1.744_reads613	test
84	chr17	1600000	1700000	chr16_rank85_score1.743_reads577	train
85	chr17	63800000	63900000	chr16_rank86_score1.740_reads612	val
86	chr17	17000000	17100000	chr16_rank87_score1.723_reads572	train
87	chr17	74800000	74900000	chr16_rank88_score1.722_reads642	train
88	chr17	50200000	50300000	chr16_rank89_score1.718_reads624	train
89	chr17	2700000	2800000	chr16_rank90_score1.714_reads570	val
90	chr17	75600000	75700000	chr16_rank91_score1.714_reads570	val
91	chr17	57800000	57900000	chr16_rank92_score1.693_reads565	train
92	chr17	76400000	76500000	chr16_rank93_score1.691_reads591	train
93	chr17	5400000	5500000	chr16_rank94_score1.690_reads667	train
94	chr17	79000000	79100000	chr16_rank95_score1.683_reads615	train
95	chr17	4500000	4600000	chr16_rank96_score1.654_reads582	val
96	chr17	28500000	28600000	chr16_rank97_score1.654_reads624	train
97	chr17	76700000	76800000	chr16_rank98_score1.650_reads656	val
98	chr17	80200000	80300000	chr16_rank99_score1.636_reads586	train
99	chr17	39700000	39800000	chr16_rank100_score1.635_reads652	train
