row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	sample	sample_id
44	f2e23a77-4b4a-4533-b053-7f941c6465fa	chr16	36311183	36337382	52473	49152	52473	3321	False	60	merged_e5b	0
45	e2b7e955-17fd-48f7-acd7-b05029491ddc	chr16	36311183	36333746	23766	0	23766	23766	True	20	merged_e5b	0
46	496bbb4f-0526-400f-851b-330569835ef3	chr16	36311183	36325153	19480	0	19480	19480	True	50	merged_e5b	0
47	93b5291f-2ec4-46d5-afa5-5190f521e190	chr16	36311183	36322427	14115	0	14115	14115	True	33	merged_e5b	0
48	4fd6d891-acdb-4930-a605-c4a67836506a	chr16	36311200	36313125	2026	0	2026	2026	True	60	merged_e5b	0
49	960afbb6-6a89-44eb-9899-03bab656428a	chr16	36311201	36337382	57552	0	32768	32768	False	60	merged_e5b	0
50	960afbb6-6a89-44eb-9899-03bab656428a	chr16	36311201	36337382	57552	16384	49152	32768	False	60	merged_e5b	0
51	960afbb6-6a89-44eb-9899-03bab656428a	chr16	36311201	36337382	57552	24784	57552	32768	False	60	merged_e5b	0
52	960afbb6-6a89-44eb-9899-03bab656428a	chr16	36311201	36337382	57552	32768	57552	24784	False	60	merged_e5b	0
53	960afbb6-6a89-44eb-9899-03bab656428a	chr16	36311201	36337382	57552	49152	57552	8400	False	60	merged_e5b	0
54	b39d4f14-dd81-4788-9927-e4eeb0779cc0	chr16	36311207	36313678	4544	0	4544	4544	True	55	merged_e5b	0
55	b7d28660-7fcb-4452-8aa9-8f8a6d9587cc	chr16	36311268	36327773	22895	0	22895	22895	False	32	merged_e5b	0
56	e54e94f7-a750-4c86-9a9e-ba9e429c62b7	chr16	36311354	36313678	2962	0	2962	2962	False	60	merged_e5b	0
57	11f19c2a-6ae2-4812-8acd-06187699f9d1	chr16	36311445	36320909	7308	0	7308	7308	True	52	merged_e5b	0
58	b67be03d-c913-4309-9968-f94f9c5fb4ce	chr16	36311482	36325069	33036	0	32768	32768	False	48	merged_e5b	0
59	b67be03d-c913-4309-9968-f94f9c5fb4ce	chr16	36311482	36325069	33036	268	33036	32768	False	48	merged_e5b	0
60	b67be03d-c913-4309-9968-f94f9c5fb4ce	chr16	36311482	36325069	33036	16384	33036	16652	False	48	merged_e5b	0
61	b67be03d-c913-4309-9968-f94f9c5fb4ce	chr16	36311482	36325069	33036	32768	33036	268	False	48	merged_e5b	0
62	c50c9960-16c0-4f42-a84e-43a9d359e0ef	chr16	36311541	36332710	34273	0	32768	32768	False	60	merged_e5b	0
63	c50c9960-16c0-4f42-a84e-43a9d359e0ef	chr16	36311541	36332710	34273	1505	34273	32768	False	60	merged_e5b	0
64	c50c9960-16c0-4f42-a84e-43a9d359e0ef	chr16	36311541	36332710	34273	16384	34273	17889	False	60	merged_e5b	0
65	c50c9960-16c0-4f42-a84e-43a9d359e0ef	chr16	36311541	36332710	34273	32768	34273	1505	False	60	merged_e5b	0
66	25ba5513-0d34-441b-bcc2-84dbb8be038d	chr16	36311551	36317171	3840	0	3840	3840	True	30	merged_e5b	0
67	72648363-2454-4edd-b5e5-28cb1fa97319	chr16	36311605	36330595	13406	0	13406	13406	True	31	merged_e5b	0
68	0e3c2838-388d-477f-add9-f3038262eb4a	chr16	36311681	36317847	4340	0	4340	4340	True	46	merged_e5b	0
69	98c7133e-0262-4a57-8851-e1bda67d7107	chr16	36311746	36326742	13213	0	13213	13213	False	24	merged_e5b	0
70	4a8c01e1-4b10-4dd6-ab44-d2ec12a89098	chr16	36311759	36322272	7313	0	7313	7313	False	60	merged_e5b	0
71	2a784ae6-674b-4177-80ea-4fe5a7554c9f	chr16	36311792	36325799	21956	0	21956	21956	True	38	merged_e5b	0
72	5070922d-9549-4a8d-ba4a-bdc74f706a69	chr16	36311816	36320574	9560	0	9560	9560	True	32	merged_e5b	0
73	e4d303e3-aa55-4538-a71f-8a0ec1ffd6fe	chr16	36311896	36321497	8076	0	8076	8076	True	60	merged_e5b	0
74	d8a2875c-6a64-490c-9d0e-6e9656189c23	chr16	36312002	36337565	24557	0	24557	24557	True	42	merged_e5b	0
75	cb014cbf-3727-4d99-950f-f3c6e6a4a7a3	chr16	36312027	36318620	5136	0	5136	5136	True	60	merged_e5b	0
76	66dc7eb5-71a1-433d-9e53-af032839d608	chr16	36312038	36318546	4735	0	4735	4735	False	59	merged_e5b	0
77	4f6bafa2-7f7a-40b2-ad0c-20be00056eaf	chr16	36312286	36313279	973	0	973	973	False	26	merged_e5b	0
78	f9462933-d805-4a4b-a9e3-de4fb463d16e	chr16	36312286	36324613	25911	0	25911	25911	True	40	merged_e5b	0
79	9f7bb68f-c566-4612-9282-8c60d97e85be	chr16	36312314	36319510	5354	0	5354	5354	False	60	merged_e5b	0
80	47450cb5-8edb-4bac-8cd2-18ea7ae94c13	chr16	36312314	36319514	5393	0	5393	5393	True	60	merged_e5b	0
81	02916ded-5813-4875-8def-4ff80e6ada2a	chr16	36312577	36318138	5379	0	5379	5379	True	60	merged_e5b	0
82	984b17e3-b408-423e-aa49-c29dd2862f95	chr16	36312846	36319298	4614	0	4614	4614	True	47	merged_e5b	0
83	a19a9cdb-8ead-4f33-bdbc-247163e2e905	chr16	36314024	36322896	40022	0	32768	32768	True	30	merged_e5b	0
84	a19a9cdb-8ead-4f33-bdbc-247163e2e905	chr16	36314024	36322896	40022	7254	40022	32768	True	30	merged_e5b	0
85	a19a9cdb-8ead-4f33-bdbc-247163e2e905	chr16	36314024	36322896	40022	16384	40022	23638	True	30	merged_e5b	0
86	a19a9cdb-8ead-4f33-bdbc-247163e2e905	chr16	36314024	36322896	40022	32768	40022	7254	True	30	merged_e5b	0
87	0dcff6c8-1b09-48e6-b893-0521f233dac0	chr16	36315043	36324111	8099	0	8099	8099	True	49	merged_e5b	0
88	ef6f8fb7-505e-4aa3-83a2-5ab0b9d2f2e6	chr16	36315123	36332045	13120	0	13120	13120	True	60	merged_e5b	0
89	02644b26-6ef5-4f2d-930e-8f53ef30bbff	chr16	36315522	36326537	11313	0	11313	11313	True	22	merged_e5b	0
90	c6c98a9b-eb08-4da3-9dc4-770611446985	chr16	36315705	36317550	1531	0	1531	1531	True	43	merged_e5b	0
91	067a4462-6ec9-4a38-b03c-e2d8a2d92682	chr16	36316455	36318477	2065	0	2065	2065	True	60	merged_e5b	0
92	54b61285-9989-4738-9b26-4ffbfab35f7f	chr16	36316495	36317248	779	0	779	779	False	31	merged_e5b	0
93	91dc3307-09ff-4147-be0f-d67c66a97339	chr16	36316741	36326086	15457	0	15457	15457	False	60	merged_e5b	0
94	223c4787-c669-4b55-a06d-f6ff26caf0c0	chr16	36316996	36334460	18520	0	18520	18520	True	31	merged_e5b	0
95	a6a09005-e759-44c2-8831-65af1163efd0	chr16	36318304	36326012	7554	0	7554	7554	False	34	merged_e5b	0
96	b3eab87d-5137-401b-9635-394855c23eac	chr16	36319492	36326196	10699	0	10699	10699	True	41	merged_e5b	0
97	31af6904-1703-4f68-90bb-0d38b9d7684f	chr16	36320250	36326086	20751	0	20751	20751	False	24	merged_e5b	0
98	138d0dc2-bab8-4981-8e86-3820c071c3f4	chr16	36321302	36321760	469	0	469	469	False	60	merged_e5b	0
99	10b16671-20f1-4b00-b433-0d4f95df193c	chr16	36334562	36337565	5553	0	5553	5553	False	60	merged_e5b	0
100	2a01ae14-1a19-4151-a881-12c30b94ceec	chr16	36334562	36337565	4960	0	4960	4960	False	60	merged_e5b	0
101	ae9f818e-afcb-466d-8c70-eb738182b82b	chr16	36334562	36337565	6274	0	6274	6274	False	60	merged_e5b	0
102	2235050d-1cf3-47a0-adff-6f9df866f786	chr16	36334562	36337562	6837	0	6837	6837	False	60	merged_e5b	0
103	6fba7d0f-f4c2-4076-acfd-3757ced573d8	chr16	36334564	36336570	4055	0	4055	4055	True	60	merged_e5b	0
104	3a062ab5-3508-49d2-b9fe-00dd755298e2	chr16	36334705	36337565	3586	0	3586	3586	False	43	merged_e5b	0
105	465e076d-21dd-4e24-9ad7-bc54d23d717e	chr16	36334862	36335062	206	0	206	206	True	60	merged_e5b	0
106	3fb74dd5-4808-44bb-b3ec-fbf0a5d4402a	chr16	36335153	36337563	4453	0	4453	4453	False	60	merged_e5b	0
107	673de22c-b800-4147-b551-04f35a1fa0f6	chr16	36335935	36336123	214	0	214	214	False	48	merged_e5b	0
108	aba9fba0-1d11-4ca2-af4c-2c96fb9702e2	chr16	36336335	36336888	557	0	557	557	False	60	merged_e5b	0
109	455b688d-fba3-45ac-95aa-fddb896bb87e	chr16	36336571	36337565	1043	0	1043	1043	False	60	merged_e5b	0
110	c09822bc-eca3-49ab-9340-fbe9ca3ef6cd	chr16	36348218	36348398	181	0	181	181	True	51	merged_e5b	0
111	05a08dd3-f633-404b-9a77-65b325971560	chr16	36350399	36351126	727	0	727	727	True	58	merged_e5b	0
112	99a70c94-3526-4c66-b4f4-a3f7372c9355	chr16	36358653	36385001	43615	0	32768	32768	False	30	merged_e5b	0
113	99a70c94-3526-4c66-b4f4-a3f7372c9355	chr16	36358653	36385001	43615	10847	43615	32768	False	30	merged_e5b	0
114	99a70c94-3526-4c66-b4f4-a3f7372c9355	chr16	36358653	36385001	43615	16384	43615	27231	False	30	merged_e5b	0
115	99a70c94-3526-4c66-b4f4-a3f7372c9355	chr16	36358653	36385001	43615	32768	43615	10847	False	30	merged_e5b	0
116	db26921b-485b-465e-85ae-cc93c670f4cd	chr16	36398519	36409183	18571	0	18571	18571	True	60	merged_e5b	0
117	4db23744-73af-4d2f-a478-7f2b2481fc86	chr16	36419766	36430840	37370	0	32768	32768	True	26	merged_e5b	0
118	4db23744-73af-4d2f-a478-7f2b2481fc86	chr16	36419766	36430840	37370	4602	37370	32768	True	26	merged_e5b	0
119	4db23744-73af-4d2f-a478-7f2b2481fc86	chr16	36419766	36430840	37370	16384	37370	20986	True	26	merged_e5b	0
120	4db23744-73af-4d2f-a478-7f2b2481fc86	chr16	36419766	36430840	37370	32768	37370	4602	True	26	merged_e5b	0
121	a77909b8-0305-4038-8bfc-52554d717de0	chr16	36434864	36435329	486	0	486	486	False	22	merged_e5b	0
122	835c08b8-1f22-40ea-ba38-c5762a202081	chr16	36490458	36501900	29001	0	29001	29001	False	56	merged_e5b	0
123	44663492-3db4-4f2e-9079-73033dc266f0	chr16	36495328	36514308	39133	0	32768	32768	True	37	merged_e5b	0
124	44663492-3db4-4f2e-9079-73033dc266f0	chr16	36495328	36514308	39133	6365	39133	32768	True	37	merged_e5b	0
125	44663492-3db4-4f2e-9079-73033dc266f0	chr16	36495328	36514308	39133	16384	39133	22749	True	37	merged_e5b	0
126	44663492-3db4-4f2e-9079-73033dc266f0	chr16	36495328	36514308	39133	32768	39133	6365	True	37	merged_e5b	0
127	9e269cee-8afb-440c-8698-1a39ea03bdd3	chr16	36512272	36518897	6307	0	6307	6307	False	29	merged_e5b	0
128	929688af-0c35-4e02-aa0f-659fdf949d1d	chr16	36513300	36523431	24674	0	24674	24674	True	20	merged_e5b	0
129	fa1495d8-69bb-467a-bf5e-beba07604349	chr16	36514131	36522779	8285	0	8285	8285	True	23	merged_e5b	0
130	27258a16-0ce2-444b-a103-4d9d3181595b	chr16	36514871	36518965	4092	0	4092	4092	True	31	merged_e5b	0
131	62916534-368d-4731-a4a7-9fb9596af2ba	chr16	36515013	36515864	868	0	868	868	True	24	merged_e5b	0
132	d26334c0-b32f-45cf-8c5d-ef6af4e1c375	chr16	36515045	36522312	14792	0	14792	14792	True	22	merged_e5b	0
133	799941e2-280c-4ae3-ba9f-3080b2818960	chr16	36522483	36544024	49513	0	32768	32768	False	28	merged_e5b	0
134	799941e2-280c-4ae3-ba9f-3080b2818960	chr16	36522483	36544024	49513	16384	49152	32768	False	28	merged_e5b	0
135	799941e2-280c-4ae3-ba9f-3080b2818960	chr16	36522483	36544024	49513	16745	49513	32768	False	28	merged_e5b	0
136	799941e2-280c-4ae3-ba9f-3080b2818960	chr16	36522483	36544024	49513	32768	49513	16745	False	28	merged_e5b	0
137	799941e2-280c-4ae3-ba9f-3080b2818960	chr16	36522483	36544024	49513	49152	49513	361	False	28	merged_e5b	0
138	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	0	32768	32768	False	60	merged_e5b	0
139	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	16384	49152	32768	False	60	merged_e5b	0
140	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	32768	65536	32768	False	60	merged_e5b	0
141	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	49152	81920	32768	False	60	merged_e5b	0
142	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	65536	98304	32768	False	60	merged_e5b	0
143	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	81920	114688	32768	False	60	merged_e5b	0
144	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	85417	118185	32768	False	60	merged_e5b	0
145	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	98304	118185	19881	False	60	merged_e5b	0
146	951c37d7-5fa3-49d7-bdd4-fc2cd0411027	chr16	36526144	36550353	118185	114688	118185	3497	False	60	merged_e5b	0
147	a93faa29-debf-4db5-9ff5-ff48c5a31fb0	chr16	36526577	36558390	53503	0	32768	32768	True	34	merged_e5b	0
148	a93faa29-debf-4db5-9ff5-ff48c5a31fb0	chr16	36526577	36558390	53503	16384	49152	32768	True	34	merged_e5b	0
149	a93faa29-debf-4db5-9ff5-ff48c5a31fb0	chr16	36526577	36558390	53503	20735	53503	32768	True	34	merged_e5b	0
150	a93faa29-debf-4db5-9ff5-ff48c5a31fb0	chr16	36526577	36558390	53503	32768	53503	20735	True	34	merged_e5b	0
151	a93faa29-debf-4db5-9ff5-ff48c5a31fb0	chr16	36526577	36558390	53503	49152	53503	4351	True	34	merged_e5b	0
152	14fbc295-d287-433b-96e2-2d1384f99bff	chr16	36546261	36554551	27447	0	27447	27447	False	24	merged_e5b	0
153	b2a83fcb-cfea-4fb0-b4c6-d310a4180240	chr16	36559966	36573315	42981	0	32768	32768	True	24	merged_e5b	0
154	b2a83fcb-cfea-4fb0-b4c6-d310a4180240	chr16	36559966	36573315	42981	10213	42981	32768	True	24	merged_e5b	0
155	b2a83fcb-cfea-4fb0-b4c6-d310a4180240	chr16	36559966	36573315	42981	16384	42981	26597	True	24	merged_e5b	0
156	b2a83fcb-cfea-4fb0-b4c6-d310a4180240	chr16	36559966	36573315	42981	32768	42981	10213	True	24	merged_e5b	0
157	0c03f9ce-bce0-448c-bd01-d30dbdbdcda6	chr16	36581263	36589997	15524	0	15524	15524	False	60	merged_e5b	0
158	ecfd6360-b20b-47e0-ac57-7b7bc6a156e1	chr16	36590053	36599611	12704	0	12704	12704	True	39	merged_e5b	0
159	0f5c6f40-a47d-4ca1-8274-1ce86e4aa730	chr16	36590756	36597546	35981	0	32768	32768	False	60	merged_e5b	0
160	0f5c6f40-a47d-4ca1-8274-1ce86e4aa730	chr16	36590756	36597546	35981	3213	35981	32768	False	60	merged_e5b	0
161	0f5c6f40-a47d-4ca1-8274-1ce86e4aa730	chr16	36590756	36597546	35981	16384	35981	19597	False	60	merged_e5b	0
162	0f5c6f40-a47d-4ca1-8274-1ce86e4aa730	chr16	36590756	36597546	35981	32768	35981	3213	False	60	merged_e5b	0
163	dee4fd00-a838-4a2b-9ac7-b813bf02357d	chr16	36613983	36627927	39053	0	32768	32768	False	25	merged_e5b	0
164	dee4fd00-a838-4a2b-9ac7-b813bf02357d	chr16	36613983	36627927	39053	6285	39053	32768	False	25	merged_e5b	0
165	dee4fd00-a838-4a2b-9ac7-b813bf02357d	chr16	36613983	36627927	39053	16384	39053	22669	False	25	merged_e5b	0
166	dee4fd00-a838-4a2b-9ac7-b813bf02357d	chr16	36613983	36627927	39053	32768	39053	6285	False	25	merged_e5b	0
167	3a866bc3-3e7f-4a9a-a3cb-55c98caa6388	chr16	36689902	36700286	28102	0	28102	28102	True	42	merged_e5b	0
168	c65e5602-7def-48a5-8602-1e60a3ba9062	chr16	36692690	36706237	19805	0	19805	19805	False	45	merged_e5b	0
169	c929c681-eff6-4b98-8c66-6d187ca5d63b	chr16	36709334	36718979	42091	0	32768	32768	False	48	merged_e5b	0
170	c929c681-eff6-4b98-8c66-6d187ca5d63b	chr16	36709334	36718979	42091	9323	42091	32768	False	48	merged_e5b	0
171	c929c681-eff6-4b98-8c66-6d187ca5d63b	chr16	36709334	36718979	42091	16384	42091	25707	False	48	merged_e5b	0
172	c929c681-eff6-4b98-8c66-6d187ca5d63b	chr16	36709334	36718979	42091	32768	42091	9323	False	48	merged_e5b	0
173	40bc8765-4920-4ec0-8bf6-625eb1590340	chr16	36709336	36718095	39670	0	32768	32768	True	23	merged_e5b	0
174	40bc8765-4920-4ec0-8bf6-625eb1590340	chr16	36709336	36718095	39670	6902	39670	32768	True	23	merged_e5b	0
175	40bc8765-4920-4ec0-8bf6-625eb1590340	chr16	36709336	36718095	39670	16384	39670	23286	True	23	merged_e5b	0
176	40bc8765-4920-4ec0-8bf6-625eb1590340	chr16	36709336	36718095	39670	32768	39670	6902	True	23	merged_e5b	0
177	4b4517b0-24c2-499f-9f83-8290e93cdeed	chr16	36712249	36718979	51426	0	32768	32768	True	46	merged_e5b	0
178	4b4517b0-24c2-499f-9f83-8290e93cdeed	chr16	36712249	36718979	51426	16384	49152	32768	True	46	merged_e5b	0
179	4b4517b0-24c2-499f-9f83-8290e93cdeed	chr16	36712249	36718979	51426	18658	51426	32768	True	46	merged_e5b	0
180	4b4517b0-24c2-499f-9f83-8290e93cdeed	chr16	36712249	36718979	51426	32768	51426	18658	True	46	merged_e5b	0
181	4b4517b0-24c2-499f-9f83-8290e93cdeed	chr16	36712249	36718979	51426	49152	51426	2274	True	46	merged_e5b	0
182	3a92b6ac-0c32-4db4-8fe4-3f3cd5d28b85	chr16	36714537	36717924	3424	0	3424	3424	True	26	merged_e5b	0
183	714597ca-5ba3-44cc-9eb5-c23134a60e0d	chr16	36715497	36718208	2753	0	2753	2753	True	25	merged_e5b	0
184	0ae30f13-cec2-4633-97a9-517492ca1191	chr16	36754737	36762357	19968	0	19968	19968	True	52	merged_e5b	0
185	9e105ad5-79ed-4799-bedc-a2fd16c76fb0	chr16	36757396	36769500	19533	0	19533	19533	True	48	merged_e5b	0
186	4615de4e-3d4b-4efb-9e59-4b20cf88c35c	chr16	36760325	36776959	24278	0	24278	24278	True	41	merged_e5b	0
187	0a6af79f-e7f8-4d05-8943-270206ea69b5	chr16	36769882	36793131	62390	0	32768	32768	True	35	merged_e5b	0
188	0a6af79f-e7f8-4d05-8943-270206ea69b5	chr16	36769882	36793131	62390	16384	49152	32768	True	35	merged_e5b	0
189	0a6af79f-e7f8-4d05-8943-270206ea69b5	chr16	36769882	36793131	62390	29622	62390	32768	True	35	merged_e5b	0
190	0a6af79f-e7f8-4d05-8943-270206ea69b5	chr16	36769882	36793131	62390	32768	62390	29622	True	35	merged_e5b	0
191	0a6af79f-e7f8-4d05-8943-270206ea69b5	chr16	36769882	36793131	62390	49152	62390	13238	True	35	merged_e5b	0
192	8f85c745-85e4-49ef-a28e-d5e700018812	chr16	36777189	36787804	23883	0	23883	23883	False	29	merged_e5b	0
193	57b78c94-7f04-44f3-8e02-39ee470f07c3	chr16	36777974	36789189	17831	0	17831	17831	True	47	merged_e5b	0
194	bf0e5017-47e5-43b5-9fd6-698ce2587bb9	chr16	36779196	36788614	15847	0	15847	15847	True	59	merged_e5b	0
195	5d9dc2f4-0206-4927-8504-87d8196b0305	chr16	36781500	36785876	4372	0	4372	4372	False	24	merged_e5b	0
196	643a1747-b385-43ed-9975-7875d7e3b075	chr16	36782383	36790774	16016	0	16016	16016	True	60	merged_e5b	0
197	e3ea009a-b56c-4400-9955-2eec7f3f9790	chr16	36783045	36804804	42326	0	32768	32768	True	60	merged_e5b	0
198	e3ea009a-b56c-4400-9955-2eec7f3f9790	chr16	36783045	36804804	42326	9558	42326	32768	True	60	merged_e5b	0
199	e3ea009a-b56c-4400-9955-2eec7f3f9790	chr16	36783045	36804804	42326	16384	42326	25942	True	60	merged_e5b	0
200	e3ea009a-b56c-4400-9955-2eec7f3f9790	chr16	36783045	36804804	42326	32768	42326	9558	True	60	merged_e5b	0
201	a1ec87ea-146b-48ae-af31-3f6ef663edec	chr16	36784415	36786620	2235	0	2235	2235	False	21	merged_e5b	0
202	482c821b-e452-4e2c-90a6-962900f83946	chr16	36784835	36785990	1161	0	1161	1161	True	20	merged_e5b	0
203	dce03c36-bb1d-4915-83c8-74862bd57255	chr16	36828625	36835049	24043	0	24043	24043	False	47	merged_e5b	0
204	820d78f1-f929-4b86-9f82-325e6a18bc99	chr16	36848496	36866501	48462	0	32768	32768	False	60	merged_e5b	0
205	820d78f1-f929-4b86-9f82-325e6a18bc99	chr16	36848496	36866501	48462	15694	48462	32768	False	60	merged_e5b	0
206	820d78f1-f929-4b86-9f82-325e6a18bc99	chr16	36848496	36866501	48462	16384	48462	32078	False	60	merged_e5b	0
207	820d78f1-f929-4b86-9f82-325e6a18bc99	chr16	36848496	36866501	48462	32768	48462	15694	False	60	merged_e5b	0
208	3cf82e00-a843-4169-8580-0ba681b327f1	chr16	36861939	36868469	9390	0	9390	9390	False	60	merged_e5b	0
209	e1083825-3f8a-4188-b2f6-dc9a9cb3b70e	chr16	36868646	36901147	53053	0	32768	32768	True	60	merged_e5b	0
210	e1083825-3f8a-4188-b2f6-dc9a9cb3b70e	chr16	36868646	36901147	53053	16384	49152	32768	True	60	merged_e5b	0
211	e1083825-3f8a-4188-b2f6-dc9a9cb3b70e	chr16	36868646	36901147	53053	20285	53053	32768	True	60	merged_e5b	0
