group	mark	chrom	position_0based	n_reads	target_mean	target_variance	target_std	target_positive_fraction	variance_class
merged_c1	5mC	chr16	46402536	15	0.537890625	0.2549639020647322	0.5049395033711783	0.5333333333333333	high
merged_c1	5mC	chr16	34581501	11	0.5406605113636364	0.2548567338423295	0.5048333723540169	0.5454545454545454	high
merged_c1	5mC	chr16	46402927	12	0.5100911458333334	0.2547647880785393	0.5047422986817524	0.5	high
merged_c1	5mC	chr16	36403890	13	0.4535757211538461	0.2547621115660056	0.5047396473093883	0.4615384615384615	high
merged_c1	5mC	chr16	24865892	17	0.4674862132352941	0.2547344880945542	0.5047122824883047	0.4705882352941176	high
merged_c1	5mC	chr16	51922326	17	0.5288373161764706	0.2544858595904182	0.5044659151919167	0.5294117647058824	high
merged_c1	5mC	chr16	18320216	10	0.514453125	0.2544650607638889	0.5044453000711662	0.5	high
merged_c1	5mC	chr16	61575016	15	0.5412760416666667	0.2544544038318452	0.5044347369401172	0.5333333333333333	high
merged_c1	5mC	chr16	12876978	16	0.50048828125	0.2544512430826823	0.5044316039689447	0.5	high
merged_c1	5mC	chr16	82446082	14	0.431640625	0.2544086162860577	0.5043893498935695	0.4285714285714285	high
merged_c1	5mC	chr16	36932578	12	0.4205729166666667	0.2543829715613163	0.5043639276963771	0.4166666666666667	high
merged_c1	5mC	chr16	75754940	10	0.510546875	0.2543497721354166	0.504331014449257	0.5	high
merged_c1	5mC	chr16	85857212	12	0.4192708333333333	0.2542553525982481	0.504237397064367	0.4166666666666667	high
merged_c1	5mC	chr16	64679019	14	0.4266183035714285	0.2542452969393887	0.5042274258104062	0.4285714285714285	high
merged_c1	5mC	chr16	69839265	13	0.5374098557692307	0.2541719094300881	0.504154648327364	0.5384615384615384	high
merged_c1	5mC	chr16	36467083	13	0.5434194711538461	0.2539228781675681	0.5039076087613364	0.5384615384615384	high
merged_c1	5mC	chr16	64454505	16	0.5009765625	0.2539113362630208	0.5038961562296549	0.5	high
merged_c1	5mC	chr16	78564969	17	0.5276884191176471	0.2538663078756893	0.5038514740235354	0.5294117647058824	high
merged_c1	5mC	chr16	37932405	11	0.4504616477272727	0.2536157781427556	0.5036027979894032	0.4545454545454545	high
merged_c1	5mC	chr16	52204026	11	0.4636008522727273	0.2535761052911932	0.503563407418761	0.4545454545454545	high
merged_c1	5mC	chr16	36829311	10	0.59375	0.2535442776150173	0.5035318039756946	0.6	high
merged_c1	5mC	chr16	5989940	13	0.5298978365384616	0.2535269321539463	0.5035145798821979	0.5384615384615384	high
merged_c1	5mC	chr16	82616144	21	0.5203683035714286	0.2535127912248884	0.503500537462363	0.5238095238095238	high
merged_c1	5mC	chr16	16682546	10	0.505078125	0.2533732096354166	0.5033619072152924	0.5	high
merged_c1	5mC	chr16	37953407	10	0.590234375	0.2533304850260416	0.5033194661703854	0.6	high
merged_c1	5mC	chr16	64842207	15	0.469921875	0.2533224923270089	0.5033115261217539	0.4666666666666667	high
merged_c1	5mC	chr16	83113074	12	0.5009765625	0.2532019181685014	0.5031917310215872	0.5	high
merged_c1	5mC	chr16	78581901	11	0.4508167613636363	0.253199629350142	0.5031894567159988	0.4545454545454545	high
merged_c1	5mC	chr16	36611825	11	0.541015625	0.2531036376953125	0.5030940644604273	0.5454545454545454	high
merged_c1	5mC	chr16	25230259	13	0.5383112980769231	0.2530883397811498	0.5030788603997884	0.5384615384615384	high
merged_c1	5mC	chr16	56398757	15	0.5342447916666667	0.2530789329892113	0.5030695110908743	0.5333333333333333	high
merged_c1	5mC	chr16	64924097	14	0.5	0.2530511709359976	0.5030419176728691	0.5	high
merged_c1	5mC	chr16	37931046	13	0.5362079326923077	0.2530343471429286	0.503025195336107	0.5384615384615384	high
merged_c1	5mC	chr16	22755523	15	0.5381510416666667	0.2530091785249256	0.5030001774601333	0.5333333333333333	high
merged_c1	5mC	chr16	36912189	17	0.4718520220588235	0.2528701109044692	0.5028619203165708	0.4705882352941176	high
merged_c1	5mC	chr16	87891141	22	0.4930752840909091	0.2528427586410985	0.5028347229866873	0.5	high
merged_c1	5mC	chr16	36615186	10	0.396484375	0.2526719835069444	0.5026648819113431	0.4	high
merged_c1	5mC	chr16	78556732	11	0.4600497159090909	0.2526492032137784	0.5026422218773294	0.4545454545454545	high
merged_c1	5mC	chr16	77531305	14	0.4291294642857143	0.2525625543279962	0.5025560210842133	0.4285714285714285	high
merged_c1	5mC	chr16	49784230	16	0.440185546875	0.252555783589681	0.5025492847370107	0.4375	high
merged_c1	5mC	chr16	38165935	12	0.4195963541666667	0.252406611587062	0.5024008475182561	0.4166666666666667	high
merged_c1	5mC	chr16	19915139	17	0.4704733455882353	0.2523545657887178	0.5023490477633235	0.4705882352941176	high
merged_c1	5mC	chr16	63510178	23	0.5197860054347826	0.2522760926499197	0.5022709355018661	0.5217391304347826	high
merged_c1	5mC	chr16	78664450	10	0.515234375	0.2522623697916666	0.5022572745034826	0.5	high
merged_c1	5mC	chr16	82117540	21	0.4736793154761904	0.2520964122953869	0.5020920356820918	0.4761904761904761	high
merged_c1	5mC	chr16	52328385	22	0.4937855113636363	0.2520619842397186	0.5020577499050469	0.5	high
merged_c1	5mC	chr16	86493916	14	0.4280133928571428	0.2520551576719179	0.5020509512708027	0.4285714285714285	high
merged_c1	5mC	chr16	60564840	15	0.4720052083333333	0.2518673851376488	0.5018639109735316	0.4666666666666667	high
merged_c1	5mC	chr16	36597515	13	0.5265925480769231	0.2518422053410457	0.5018388240670959	0.5384615384615384	high
merged_c1	5mC	chr16	75125257	17	0.5244715073529411	0.2518244350657743	0.5018211185928452	0.5294117647058824	high
merged_c1	5mC	chr16	38095269	11	0.529296875	0.2518035888671875	0.5018003476156503	0.5454545454545454	high
merged_c1	5mC	chr16	38061306	19	0.521484375	0.2518022325303819	0.5017989961432585	0.5263157894736842	high
merged_c1	5mC	chr16	37998809	12	0.4134114583333333	0.2517709443063446	0.5017678191218969	0.4166666666666667	high
merged_c1	5mC	chr16	17665061	20	0.4513671875	0.2517145658794202	0.5017116361810041	0.45	high
merged_c1	5mC	chr16	36989965	14	0.4988839285714285	0.2517140985845209	0.5017111704801089	0.5	high
merged_c1	5mC	chr16	77858576	19	0.4748149671052631	0.2516097576297514	0.5016071746194939	0.4736842105263157	high
merged_c1	5mC	chr16	36490682	12	0.4918619791666667	0.2515909599535393	0.5015884368220018	0.5	high
merged_c1	5mC	chr16	59699413	22	0.4534801136363636	0.2515704332492052	0.5015679747045312	0.4545454545454545	high
merged_c1	5mC	chr16	83074380	24	0.4962565104166667	0.251527178114739	0.5015248529382557	0.5	high
merged_c1	5mC	chr16	37602092	10	0.40703125	0.251515875922309	0.5015135849828088	0.4	high
merged_c1	5mC	chr16	36672139	10	0.406640625	0.2514994303385416	0.5014971887643456	0.4	high
merged_c1	5mC	chr16	26673757	13	0.4725060096153846	0.2514104598607772	0.501408476055977	0.4615384615384615	high
merged_c1	5mC	chr16	52394890	15	0.596484375	0.2513911655970982	0.5013892356214862	0.6	high
merged_c1	5mC	chr16	59483048	23	0.4742697010869565	0.2513468143025877	0.5013450052634291	0.4782608695652174	high
merged_c1	5mC	chr16	61940209	18	0.5043402777777778	0.2511976154801112	0.5011961846224603	0.5	high
merged_c1	5mC	chr16	78751212	15	0.4576822916666667	0.2511633010137649	0.5011619508839082	0.4666666666666667	high
merged_c1	5mC	chr16	89765955	12	0.4124348958333333	0.2511220989805279	0.5011208426921873	0.4166666666666667	high
merged_c1	5mC	chr16	38233887	19	0.4711143092105263	0.2511103222941794	0.5011090922086522	0.4736842105263157	high
merged_c1	5mC	chr16	65067215	28	0.5	0.2511093704788773	0.5011081424990791	0.5	high
merged_c1	5mC	chr16	53211503	20	0.4931640625	0.2510984320389597	0.5010972281293917	0.5	high
merged_c1	5mC	chr16	36631847	10	0.40625	0.2510553995768229	0.5010542880535231	0.4	high
merged_c1	5mC	chr16	36844711	12	0.4235026041666667	0.2510527408484256	0.5010516349124366	0.4166666666666667	high
merged_c1	5mC	chr16	77396576	18	0.4401041666666667	0.2510362512925091	0.5010351796955071	0.4444444444444444	high
merged_c1	5mC	chr16	74071083	20	0.450390625	0.2510112561677631	0.5010102355918122	0.45	high
merged_c1	5mC	chr16	38098336	14	0.5025111607142857	0.2509973546960852	0.5009963619589319	0.5	high
merged_c1	5mC	chr16	36483404	12	0.5035807291666666	0.2509972543427438	0.5009962618051594	0.5	high
merged_c1	5mC	chr16	49446757	26	0.4586838942307692	0.2509947791466346	0.5009937915250393	0.4615384615384615	high
merged_c1	5mC	chr16	29263421	18	0.4993489583333333	0.2509011661305147	0.5009003554905055	0.5	high
merged_c1	5mC	chr16	80319592	19	0.5313527960526315	0.2508941114994518	0.5008933134904595	0.5263157894736842	high
merged_c1	5mC	chr16	85481864	16	0.5	0.2508463541666667	0.5008456390612448	0.5	high
merged_c1	5mC	chr16	46644307	24	0.5387369791666666	0.2507946733115376	0.5007940428075573	0.5416666666666666	high
merged_c1	5mC	chr16	13808460	15	0.4657552083333333	0.2507334391276041	0.5007329019822885	0.4666666666666667	high
merged_c1	5mC	chr16	9024764	13	0.5286959134615384	0.2507040561773838	0.5007035611790511	0.5384615384615384	high
merged_c1	5mC	chr16	36018374	10	0.398828125	0.2506381564670139	0.5006377497422801	0.4	high
merged_c1	5mC	chr16	86523339	14	0.4880022321428571	0.2506261133885645	0.5006257218607175	0.5	high
merged_c1	5mC	chr16	76582343	19	0.5276521381578947	0.2505701968544407	0.5005698721002302	0.5263157894736842	high
merged_c1	5mC	chr16	16471800	16	0.501708984375	0.2505604426066081	0.5005601288622658	0.5	high
merged_c1	5mC	chr16	32411002	11	0.5445667613636364	0.250495771928267	0.5004955263818719	0.5454545454545454	high
merged_c1	5mC	chr16	67351336	29	0.5150188577586207	0.2503567023817541	0.5003565752358553	0.5172413793103449	high
merged_c1	5mC	chr16	54954816	10	0.405078125	0.2503282335069444	0.5003281258403773	0.4	high
merged_c1	5mC	chr16	76977226	19	0.5218955592105263	0.2503100835789016	0.5003099874866598	0.5263157894736842	high
merged_c1	5mC	chr16	38081686	13	0.4568810096153846	0.2503016545222356	0.5003015635816418	0.4615384615384615	high
merged_c1	5mC	chr16	86497293	15	0.535546875	0.2501979282924106	0.500197889132302	0.5333333333333333	high
merged_c1	5mC	chr16	54845327	15	0.4717447916666666	0.2501754034133184	0.5001753726577494	0.4666666666666667	high
merged_c1	5mC	chr16	37026659	15	0.5243489583333333	0.2501754034133184	0.5001753726577494	0.5333333333333333	high
merged_c1	5mC	chr16	64754970	16	0.505615234375	0.250108782450358	0.5001087706193105	0.5	high
merged_c1	5mC	chr16	86779657	15	0.5311197916666667	0.2500956217447916	0.5000956126030218	0.5333333333333333	high
merged_c1	5mC	chr16	36603436	11	0.451171875	0.2500213623046875	0.500021361848359	0.4545454545454545	high
merged_c1	5mC	chr16	21838632	15	0.5282552083333333	0.2500097365606399	0.5000097364658411	0.5333333333333333	high
merged_c1	5mC	chr16	12487878	16	0.433349609375	0.2500060399373372	0.5000060399008568	0.4375	high
merged_c1	5mC	chr16	63514315	18	0.5047743055555556	0.2499834945778441	0.4999834943054062	0.5	high
merged_c1	5mC	chr16	64444774	22	0.5417258522727273	0.2499776732869994	0.4999776727884951	0.5454545454545454	high
merged_c1	5mC	chr16	64132389	27	0.4769241898148148	0.2499615704571759	0.4999615689802326	0.4814814814814814	high
merged_c1	5mC	chr16	55801414	16	0.435302734375	0.2499297459920247	0.4999297410557055	0.4375	high
merged_c1	5mC	chr16	52265982	28	0.4972098214285714	0.2499201537440062	0.4999201473675633	0.5	high
merged_c1	5mC	chr16	73606643	20	0.50078125	0.2498427541632401	0.4998427294292077	0.5	high
merged_c1	5mC	chr16	3349978	16	0.4990234375	0.2498179117838541	0.4998178786156555	0.5	high
merged_c1	5mC	chr16	78730248	20	0.510546875	0.2498001901726974	0.4998001502327679	0.5	high
merged_c1	5mC	chr16	16841677	25	0.555390625	0.2497682189941406	0.4997681652467878	0.56	high
merged_c1	5mC	chr16	36629837	11	0.4515269886363636	0.249708418412642	0.4997083333432033	0.4545454545454545	high
merged_c1	5mC	chr16	36492042	18	0.5555555555555556	0.2496513915217779	0.4996512699091017	0.5555555555555556	high
merged_c1	5mC	chr16	37568130	12	0.4235026041666667	0.2496489322546756	0.4996488089195006	0.4166666666666667	high
merged_c1	5mC	chr16	15207	18	0.5017361111111112	0.2496364319246578	0.4996362996467109	0.5	high
merged_c1	5mC	chr16	59321420	20	0.496484375	0.2496135510896381	0.4996134016313395	0.5	high
merged_c1	5mC	chr16	66066505	21	0.4755394345238095	0.2496092296781994	0.4996090768572959	0.4761904761904761	high
merged_c1	5mC	chr16	77896435	16	0.559326171875	0.2496047337849934	0.4996045774259814	0.5625	high
merged_c1	5mC	chr16	71486179	20	0.54453125	0.2495982923005756	0.4995981308017231	0.55	high
merged_c1	5mC	chr16	32416826	11	0.4493963068181818	0.2495860706676136	0.4995858991881312	0.4545454545454545	high
merged_c1	5mC	chr16	78746967	16	0.436279296875	0.2495325088500976	0.4995322900975448	0.4375	high
merged_c1	5mC	chr16	63583252	19	0.4225945723684211	0.2495067217196637	0.499506478155853	0.4210526315789473	high
merged_c1	5mC	chr16	75957873	26	0.4592848557692308	0.2495055213341346	0.4995052765828751	0.4615384615384615	high
merged_c1	5mC	chr16	36453489	16	0.556884765625	0.2494597752888997	0.4994594831304134	0.5625	high
merged_c1	5mC	chr16	79821338	30	0.4938802083333333	0.2494064155666307	0.4994060628052394	0.5	high
merged_c1	5mC	chr16	33466291	13	0.4710036057692308	0.2493908221905048	0.4993904506400826	0.4615384615384615	high
merged_c1	5mC	chr16	83516057	18	0.4453125	0.2493847117704503	0.499384332724256	0.4444444444444444	high
merged_c1	5mC	chr16	78473965	18	0.4969618055555556	0.2493031321008221	0.499302645797939	0.5	high
merged_c1	5mC	chr16	86998111	25	0.477109375	0.2492089335123698	0.4992083067341426	0.48	high
merged_c1	5mC	chr16	36478977	16	0.50146484375	0.2491310119628906	0.4991302555074082	0.5	high
merged_c1	5mC	chr16	18345741	11	0.4557883522727273	0.2491144353693181	0.499113649752557	0.4545454545454545	high
merged_c1	5mC	chr16	37653382	13	0.5304987980769231	0.2490651057316706	0.4990642300663018	0.5384615384615384	high
merged_c1	5mC	chr16	37742715	12	0.4837239583333333	0.2490493312026515	0.4990484257090202	0.5	high
merged_c1	5mC	chr16	1997809	10	0.49453125	0.2490046183268229	0.4990036255648078	0.5	high
merged_c1	5mC	chr16	23724228	24	0.49169921875	0.2489250017249065	0.4989238436123359	0.5	high
merged_c1	5mC	chr16	34397761	13	0.3862680288461538	0.2489154522235577	0.4989142734213541	0.3846153846153846	high
merged_c1	5mC	chr16	16427289	19	0.4758429276315789	0.248887893052129	0.4988866535117261	0.4736842105263157	high
merged_c1	5mC	chr16	55449154	19	0.4865337171052631	0.2488716527035362	0.4988703766546338	0.4736842105263157	high
merged_c1	5mC	chr16	46404442	15	0.5337239583333333	0.2488705589657738	0.4988692804390482	0.5333333333333333	high
merged_c1	5mC	chr16	37896590	20	0.4484375	0.2488485235916941	0.4988471946314764	0.45	high
merged_c1	5mC	chr16	37562691	11	0.5395951704545454	0.2487679221413352	0.4987664003732961	0.5454545454545454	high
merged_c1	5mC	chr16	65014710	26	0.4692007211538461	0.2487671837439904	0.4987656601491229	0.4615384615384615	high
merged_c1	5mC	chr16	37930706	14	0.5697544642857143	0.2487478570623711	0.4987462852617262	0.5714285714285714	high
merged_c1	5mC	chr16	37915956	10	0.598828125	0.2486768934461805	0.498675138187358	0.6	high
merged_c1	5mC	chr16	36988267	12	0.4169921875	0.2486686706542968	0.4986668934813067	0.4166666666666667	high
merged_c1	5mC	chr16	63439592	19	0.5229235197368421	0.2486592789142452	0.4986574765450181	0.5263157894736842	high
merged_c1	5mC	chr16	62905709	20	0.489453125	0.248638916015625	0.4986370584058359	0.5	high
merged_c1	5mC	chr16	15770911	14	0.5016741071428571	0.248569111247639	0.4985670579246478	0.5	high
merged_c1	5mC	chr16	61181773	32	0.4664306640625	0.2484390351080125	0.4984365908598731	0.46875	high
merged_c1	5mC	chr16	22615017	17	0.466796875	0.2484359741210937	0.4984335202623252	0.4705882352941176	high
merged_c1	5mC	chr16	63920915	31	0.5153099798387096	0.248412856235299	0.4984103291819894	0.5161290322580645	high
merged_c1	5mC	chr16	85155472	11	0.5481178977272727	0.2484064275568181	0.4984038799576285	0.5454545454545454	high
merged_c1	5mC	chr16	70816709	33	0.5498934659090909	0.2483170249245383	0.4983141829453967	0.5454545454545454	high
merged_c1	5mC	chr16	61289755	28	0.4987444196428571	0.2483012487017919	0.4982983530996183	0.5	high
merged_c1	5mC	chr16	18320290	10	0.600390625	0.2482632107204861	0.4982601837599369	0.6	high
merged_c1	5mC	chr16	63553677	21	0.4731212797619047	0.2482612246558779	0.498258190756437	0.4761904761904761	high
merged_c1	5mC	chr16	52939103	24	0.5384114583333334	0.2482560752094655	0.4982530232818117	0.5416666666666666	high
merged_c1	5mC	chr16	6966006	22	0.4501065340909091	0.2482505897422889	0.4982475185510601	0.4545454545454545	high
merged_c1	5mC	chr16	11043504	25	0.479296875	0.2482134501139322	0.4982102468977653	0.48	high
merged_c1	5mC	chr16	64260983	17	0.5260799632352942	0.2481903749353745	0.4981870882864935	0.5294117647058824	high
merged_c1	5mC	chr16	37740685	12	0.4895833333333333	0.248151836973248	0.4981484085824706	0.5	high
merged_c1	5mC	chr16	55207439	21	0.4755394345238095	0.2481337047758556	0.4981302086561863	0.4761904761904761	high
merged_c1	5mC	chr16	79923762	24	0.4962565104166667	0.2480932871500651	0.4980896376658172	0.5	high
merged_c1	5mC	chr16	36672517	10	0.60390625	0.2480789184570312	0.4980752136545556	0.6	high
merged_c1	5mC	chr16	76466581	22	0.5880681818181818	0.2480751797234341	0.4980714604586716	0.5909090909090909	high
merged_c1	5mC	chr16	83594655	16	0.499755859375	0.2480732599894205	0.4980695332876932	0.5	high
merged_c1	5mC	chr16	75934976	30	0.4673177083333333	0.2480686933144756	0.4980649488916838	0.4666666666666667	high
merged_c1	5mC	chr16	17849776	19	0.4659745065789473	0.2480461611385234	0.4980423286614536	0.4736842105263157	high
merged_c1	5mC	chr16	70178255	19	0.4612458881578947	0.2479185583995796	0.4979142078707733	0.4736842105263157	high
merged_c1	5mC	chr16	73681519	20	0.4443359375	0.2478796306409333	0.497875115506824	0.45	high
merged_c1	5mC	chr16	25962883	17	0.4146369485294117	0.2478751014260684	0.4978705669409153	0.4117647058823529	high
merged_c1	5mC	chr16	37995412	14	0.4815848214285714	0.2478360186566363	0.4978313154640197	0.5	high
merged_c1	5mC	chr16	33077263	12	0.4248046875	0.2478169527920809	0.4978121661752361	0.4166666666666667	high
merged_c1	5mC	chr16	59529700	18	0.5460069444444444	0.2478041804693883	0.4977993375541878	0.5555555555555556	high
merged_c1	5mC	chr16	85475935	22	0.4916548295454545	0.2478006206033549	0.4977957619379206	0.5	high
merged_c1	5mC	chr16	34583924	11	0.5264559659090909	0.2477724942294034	0.4977675102187802	0.5454545454545454	high
merged_c1	5mC	chr16	38232192	20	0.498828125	0.2477619371916118	0.4977569057196613	0.5	high
merged_c1	5mC	chr16	32714398	18	0.4429253472222222	0.2477468852124182	0.4977417856805055	0.4444444444444444	high
merged_c1	5mC	chr16	78820381	19	0.5272409539473685	0.2477355421635142	0.4977303910386769	0.5263157894736842	high
merged_c1	5mC	chr16	62177939	25	0.561796875	0.247665049235026	0.4976595716300713	0.56	high
merged_c1	5mC	chr16	36929181	15	0.4001302083333333	0.2476468040829613	0.4976412403358078	0.4	high
merged_c1	5mC	chr16	60191560	14	0.5594308035714286	0.2476417625343406	0.4976361748650721	0.5714285714285714	high
merged_c1	5mC	chr16	31821321	20	0.5458984375	0.2476403085809005	0.4976347140030531	0.55	high
merged_c1	5mC	chr16	60211816	14	0.4299665178571428	0.2476236532022664	0.4976179791790752	0.4285714285714285	high
merged_c1	5mC	chr16	35061468	10	0.512890625	0.2476189507378472	0.4976132541822486	0.5	high
merged_c1	5mC	chr16	5932969	24	0.4554036458333333	0.2476102303767549	0.497604491917783	0.4583333333333333	high
merged_c1	5mC	chr16	46380991	10	0.4125	0.2475906372070312	0.4975848040354842	0.4	high
merged_c1	5mC	chr16	31358787	16	0.498046875	0.247528076171875	0.4975219353675524	0.5	high
merged_c1	5mC	chr16	37790299	11	0.5381747159090909	0.2474673184481534	0.4974608712734635	0.5454545454545454	high
merged_c1	5mC	chr16	83595346	14	0.4369419642857143	0.2474496862390539	0.4974431487507431	0.4285714285714285	high
merged_c1	5mC	chr16	60080734	23	0.481742527173913	0.2474152335065156	0.4974085177261398	0.4782608695652174	high
merged_c1	5mC	chr16	64656791	27	0.5185908564814815	0.2473797050976006	0.4973728029331726	0.5185185185185185	high
merged_c1	5mC	chr16	79277976	24	0.5021158854166666	0.247349587039671	0.497342524865581	0.5	high
merged_c1	5mC	chr16	65428951	21	0.5198102678571429	0.247342790876116	0.4973356923408132	0.5238095238095238	high
merged_c1	5mC	chr16	64695663	18	0.4435763888888889	0.2473314572003931	0.4973242978182276	0.4444444444444444	high
merged_c1	5mC	chr16	55531852	10	0.605859375	0.2473219129774305	0.4973147021529029	0.6	high
merged_c1	5mC	chr16	74236636	14	0.4252232142857143	0.2473041408664577	0.4972968337587298	0.4285714285714285	high
merged_c1	5mC	chr16	36483735	10	0.48125	0.2472569783528646	0.4972494126219402	0.5	high
merged_c1	5mC	chr16	36434268	13	0.5431189903846154	0.2472448104467147	0.4972371772572067	0.5384615384615384	high
merged_c1	5mC	chr16	31828277	21	0.5132998511904762	0.2472319103422619	0.4972242053060791	0.5238095238095238	high
merged_c1	5mC	chr16	59479939	30	0.4625	0.2472243210365032	0.4972165735738333	0.4666666666666667	high
merged_c1	5mC	chr16	36981826	13	0.4607872596153846	0.2472066634740585	0.4971988168470018	0.4615384615384615	high
merged_c1	5mC	chr16	24106155	17	0.5251608455882353	0.2472047244801241	0.4971968669250884	0.5294117647058824	high
merged_c1	5mC	chr16	58437528	20	0.507421875	0.2471817819695723	0.4971737945322262	0.5	high
merged_c1	5mC	chr16	36672177	10	0.6015625	0.2471593221028646	0.4971512064783355	0.6	high
merged_c1	5mC	chr16	70029452	23	0.5192764945652174	0.2471519138502038	0.49714375571881	0.5217391304347826	high
merged_c1	5mC	chr16	60492219	15	0.398828125	0.2471396309988839	0.4971314021452315	0.4	high
merged_c1	5mC	chr16	25076077	18	0.5536024305555556	0.247125164356107	0.4971168518126367	0.5555555555555556	high
merged_c1	5mC	chr16	36829458	16	0.56689453125	0.2471087137858073	0.49710030555795	0.5625	high
merged_c1	5mC	chr16	13214963	19	0.5755550986842105	0.2470775403474506	0.4970689492891812	0.5789473684210527	high
